,,,Salary,Salary,Salary,Salary,Salary,Salary,,-additional
336,Chris Cenac Jr.,BOS,$2988120,$3137640,$3287400,$5930470,,,$6125760,cenacch01
337,Pacôme Dadiet,NYK,$2983680,$5373608,,,,,$2983680,dadiepa01
338,Joshua Jefferson,BRK,$2969520,$3118560,$3266880,$5896718,,,$6088080,jeffejo01
339,Alex Karaban,SAC,$2948280,$3095640,$3243120,$5853832,,,$6043920,karabal01
340,Danny Wolf,BRK,$2941440,$3081840,$5559640,,,,$2941440,wolfda01
341,Koa Peat,PHO,$2926800,$3073080,$3219840,$5811811,,,$5999880,peatko01
342,Hugo González,BOS,$2923560,$3062640,$5528065,,,,$2923560,gonzahu01
343,Liam McNeeley,CHO,$2902080,$3040320,$5487778,,,,$2902080,mcneeli01
344,Yanic Konan Niederhäuser,LAC,$2880960,$3018480,$5448356,,,,$2880960,konanya01
345,Ajay Mitchell,OKC,$2850000,$2850000,,,,,,mitchaj01
346,Bones Hyland,MIN,$2845883,,,,,,$2845883,hylanbo01
347,Terrence Shannon Jr.,MIN,$2801640,$5054159,,,,,$2801640,shannte01
348,Micah Potter,POR,$2801346,,,,,,$2801346,pottemi01
349,Jericho Sims,MIL,$2801346,,,,,,$2801346,simsje01
350,Luka Garza,BOS,$2801346,,,,,,$2801346,garzalu01
351,Ryan Dunn,PHO,$2784240,$5025553,,,,,$2784240,dunnry01
352,Isaiah Collier,UTA,$2763960,$4988948,,,,,$2763960,colliis01
353,Baylor Scheierman,BOS,$2744040,$4952993,,,,,$2744040,scheiba01
354,Neemias Queta,BOS,$2667944,$12500000,$13500000,$14500000,$15500000,,$58667944,quetane01
355,Justin Champagnie,WAS,$2667944,$3005085,,,,,$2667944,champju01
356,Vít Krejčí,POR,$2667944,$3005085,,,,,,krejcvi01
357,Jay Huff,IND,$2667944,$3005085,,,,,,huffja01
358,Christian Koloko,NOP,$2625627,,,,,,$2625627,kolokch01
359,JD Davison,ORL,$2625627,,,,,,,davisjd01
360,Caleb Houstan,NOP,$2625627,,,,,,,houstca01
361,Kobe Sanders,LAC,$2622139,$2753246,$2884353,$3019474,,,$5375385,sandeko01
362,Jamaree Bouyea,PHO,$2584539,,,,,,$2584539,bouyeja01
363,Jamal Cain,ORL,$2584539,,,,,,$2584539,cainja01
364,Bryce McGowens,NOP,$2584539,$2934742,,,,,$2584539,mcgowbr01
365,Jabari Walker,PHI,$2584539,,,,,,,walkeja01
366,Dru Smith,MIA,$2584539,$2934742,,,,,,smithdr01
367,Pete Nance,MIL,$2537526,$2756912,,,,,$2537526,nancepe01
368,Oscar Tshiebwe,HOU,$2537526,,,,,,$2537526,tshieos01
369,Julian Phillips,HOU,$2537526,,,,,,$2537526,phillju01
370,Andre Jackson Jr.,TOR,$2537526,,,,,,,jacksan01
371,Malaki Branham,ORL,$2537526,,,,,,,branhma01
372,Olivier-Maxence Prosper,MEM,$3500172,$1002360,,,,,$2497812,prospol01
373,Sidy Cissoko,POR,$2497812,,,,,,,cissosi01
374,Scotty Pippen Jr.,MEM,$2461462,$2789215,,,,,,pippesc02
375,Moussa Diabaté,CHO,$2461462,,,,,,,diabamo01
376,Jonathan Isaac,ORL,$10449421,,,,,,$10449421,isaacjo01
377,Daeqwon Plowden,SAC,$2449421,$2664401,,,,,$5113822,plowdda01
378,Isaiah Crawford,HOU,$2449421,$2664401,,,,,$5113822,crawfis01
379,Anthony Gill,WAS,$2449421,,,,,,$2449421,gillan01
380,Harrison Ingram,UTA,$2449421,,,,,,$2449421,ingraha01
381,Kyle Anderson,TOR,$2449421,,,,,,$2449421,anderky01
382,Jordan McLaughlin,SAS,$2449421,,,,,,$2449421,mclaujo01
383,Jeremy Sochan,POR,$2449421,,,,,,$2449421,sochaje01
384,Branden Carlson,POR,$2449421,,,,,,$2449421,carlsbr01
385,Kentavious Caldwell-Pope,PHI,$20194392,,,,,,$2449421,caldwke01
386,Jevon Carter,ORL,$2449421,,,,,,$2449421,carteje01
387,Nikola Vučević,ORL,$2449421,,,,,,$2449421,vucevni01
388,Andre Drummond,NYK,$2449421,,,,,,$2449421,drumman01
389,Jordan Clarkson,NYK,$2449421,,,,,,$2449421,clarkjo01
390,Kobe Bufkin,NOP,$2449421,,,,,,$2449421,bufkiko01
391,Trey Lyles,MIN,$2449421,,,,,,$2449421,lylestr01
392,Nick Richards,MIA,$2449421,,,,,,$2449421,richani01
393,Simone Fontecchio,MIA,$2449421,,,,,,$2449421,fontesi01
394,Matisse Thybulle,LAL,$2449421,,,,,,$2449421,thybuma01
395,Ziaire Williams,LAL,$2449421,,,,,,$2449421,willizi02
396,Kevon Looney,LAL,$2449421,,,,,,$2449421,looneke01
397,Larry Nance Jr.,IND,$2449421,,,,,,$2449421,nancela02
398,Jae'Sean Tate,HOU,$2449421,,,,,,$2449421,tateja01
399,Bogdan Bogdanović,HOU,$2449421,,,,,,$2449421,bogdabo01
400,Gary Payton II,GSW,$2449421,,,,,,$2449421,paytoga02
401,Charles Bassey,GSW,$2449421,,,,,,$2449421,bassech01
402,DeMar DeRozan,DEN,$2449421,,,,,,$2449421,derozde01
403,Marvin Bagley III,DEN,$2449421,,,,,,$2449421,baglema01
404,Tyus Jones,DEN,$2449421,,,,,,$2449421,jonesty01
405,Mario Hezonja,CLE,$2449421,,,,,,$2449421,hezonma01
406,Thomas Bryant,CLE,$2449421,,,,,,$2449421,bryanth01
407,Mike Conley,BOS,$2449421,,,,,,$2449421,conlemi01
408,Haywood Highsmith,PHO,$3449421,,,,,,$1000000,highsha01
409,Ben Simmons,SAC,$2449421,,,,,,,simmobe01
410,Dillon Jones,PHI,$2449421,,,,,,,jonesdi01
411,John Konchar,NYK,$4504421,$2055000,$2055000,,,,,konchjo01
412,Drew Eubanks,NYK,$2449421,,,,,,,eubandr01
413,James Wiseman,NYK,$2449421,,,,,,,wisemja01
414,Ochai Agbaji,NYK,$2449421,,,,,,,agbajoc01
415,Bruce Brown,NYK,$2449421,,,,,,,brownbr01
416,Trendon Watford,NOP,$2449421,,,,,,,watfotr01
417,John Butler,MIL,$2449421,,,,,,,butlejo01
418,Yuki Kawamura,LAC,$2449421,,,,,,,kawamyu01
419,Georges Niang,GSW,$2449421,,,,,,,niangge01
420,Brandon Williams,GSW,$2449421,,,,,,,willibr03
421,Devin Carter,BOS,$7607501,,,,,,,cartede02
422,Cam Spencer,MEM,$2411090,$2616754,$2830685,,,,$5027844,spencca01
423,Justin Edwards,PHI,$2411090,$2616754,,,,,$2411090,edwarju01
424,Tolu Smith,DET,$2411090,,,,,,$2411090,smithto05
425,Nae'Qwan Tomlin,CLE,$2411090,,,,,,$2411090,tomlina01
426,Ryan Kalkbrenner,CHO,$2411090,$2525901,$2735698,,,,$2411090,kalkbry01
427,Sion James,CHO,$2411090,$2525901,$2735698,,,,$2411090,jamessi01
428,Jordan Walsh,BOS,$2406205,$4629630,$5000000,$5370370,,,$17406205,walshjo01
429,Trayce Jackson-Davis,TOR,$2406205,,,,,,$2406205,jackstr02
430,GG Jackson II,MEM,$2406205,,,,,,$2406205,jacksgg01
431,Craig Porter Jr.,CLE,$2406205,,,,,,$2406205,portecr01
432,Leonard Miller,CHI,$2406205,,,,,,$2406205,millele01
433,Mouhamed Gueye,ATL,$2406205,,,,,,$2406205,gueyemo02
434,Jamal Shead,TOR,$2296271,,,,,,$2296271,sheadja01
435,Tyler Kolek,NYK,$2296271,$2486995,,,,,$2296271,kolekty01
436,Karlo Matković,NOP,$2296271,,,,,,$2296271,matkoka01
437,Pelle Larsson,MIA,$2296271,,,,,,$2296271,larsspe01
438,Johnny Furphy,IND,$2296271,$2486995,,,,,$2296271,furphjo01
439,Jamison Battle,TOR,$2296271,,,,,,,battlja01
440,Oso Ighodaro,PHO,$2296271,$2486995,,,,,,ighodos01
441,Adem Bona,PHI,$2296271,$2486995,,,,,,bonaad01
442,Jaylen Wells,MEM,$2296271,$2486995,,,,,,wellsja01
443,Bronny James,LAL,$2296271,$2486995,,,,,,jamesbr02
444,Cam Christie,LAC,$2296271,$2486995,,,,,,chrisca02
445,Mohamed Diawara,NYK,$2232143,$2410714,$2589286,$2767857,,,$10000000,diawamo01
446,JaVale McGee,DAL,$2208856,$2208856,,,,,$4417712,mcgeeja01
447,Alijah Martin,TOR,$2185116,$2571895,,,,,$2185116,martial01
448,Moussa Cisse,DAL,$2185116,$2571895,,,,,$2185116,cissemo01
449,Malachi Smith,TOR,$2185116,,,,,,,smithma02
450,Taelon Peter,SAS,$2185116,,,,,,,peterta01
451,Alex Toohey,GSW,$2185116,,,,,,,tooheal01
452,Bez Mbeng,CHO,$2185116,,,,,,,mbengbe01
453,Rasheer Fleming,PHO,$2150917,$2525901,$2735698,,,,$4676818,flemira01
454,Maxime Raynaud,SAC,$2150917,$2525901,,,,,$2150917,raynama01
455,Noah Penda,ORL,$2150917,$2525901,$2735698,,,,$2150917,pendano01
456,Micah Peavy,MEM,$2150917,$2525901,$2735698,,,,$2150917,peavymi01
457,Adou Thiero,LAL,$2150917,$2525901,,,,,$2150917,thierad01
458,Johni Broome,LAC,$2150917,$2525901,$2735698,,,,$2150917,broomjo01
459,Will Richard,GSW,$2150917,$2525901,$2735698,,,,$2150917,richawi02
460,Chaz Lanier,DET,$2150917,$2525901,$2735698,,,,$2150917,laniech01
461,Tyrese Proctor,CLE,$2150917,$2525901,$2735698,,,,$2150917,proctty01
462,Ryan Nembhard,ATL,$2150917,,,,,,$2150917,nembhry01
463,Myron Gardner,MIA,$2150917,$2525901,,,,,,gardnmy01
464,John Konchar,MIN,$4504421,$2055000,$2055000,,,,$6165000,konchjo01
465,Cam Whitmore,CLE,$1819437,$1819437,$1819437,,,,$5458311,whitmca01
466,Baba Miller,LAC,$1705630,$2294370,$2694363,$2918152,,,$4000000,milleba01
467,Isaiah Evans,MIN,$1357763,$2294370,$2694363,$2918152,,,$6346496,evansis01
468,Bogoljub Markovic,MIL,$1357763,$2294370,$2694363,$2918152,,,$6346496,markobo01
469,Meleek Thomas,CLE,$1357763,$2294370,$2694363,$2918152,,,$6346496,thomame01
470,Emanuel Sharp,SAC,$1357763,$2294370,$2694363,,,,$3652133,sharpem01
471,Ryan Conwell,MIA,$1357763,$2294370,$2694363,,,,$3652133,conwery01
472,Henri Veesaar,ATL,$1357763,$2294370,$2694363,$2918152,,,$3652133,veesahe01
473,Bruce Thornton,HOU,$1357763,$2294370,$2694363,$2918152,,,$1357763,thornbr01
474,Trevon Brazile,DEN,$1357763,,,,,,$1357763,brazitr01
475,Khalifa Diop,CLE,$1357763,$2294370,$2694363,$2918152,,,$1357763,diopkh01
476,Nate Bittle,TOR,$1357763,,,,,,,bittlna01
477,Tacko Fall,PHI,$1357763,,,,,,,fallta01
478,Jameer Nelson Jr.,PHI,$1357763,,,,,,,nelsoja02
479,Saint Thomas,PHI,$1357763,,,,,,,thomasa03
480,Christoph Tilly,OKC,$1357763,,,,,,,tillych01
481,J'Vonne Hadley,MIA,$1357763,,,,,,,hadlejv01
482,Dalen Terry,GSW,$1357763,,,,,,,terryda01
483,Tucker DeVries,BOS,$1357763,,,,,,,devritu01
484,Milos Uzan,BOS,$1357763,,,,,,,uzanmi01
485,Will Baker,ATL,$1357763,,,,,,,bakerwi01
486,Olivier-Maxence Prosper,DAL,$3500172,$1002360,,,,,$2004720,prospol01
487,Haywood Highsmith,PHO,$3449421,,,,,,$1000000,highsha01
488,E.J. Liddell,PHO,$706898,,,,,,$706898,liddeej01
489,Vasilije Micić,MIL,$666667,$666667,,,,,$1333334,micicva01
490,Mamadi Diakite,MEM,$464050,,,,,,$464050,diakima01
491,Ricky Rubio,CLE,$424672,,,,,,$424672,rubiori01
492,Didi Louzada,POR,$268032,$268032,$268032,,,,$804096,louzama01
493,Taj Gibson,NOP,$148828,,,,,,$148828,gibsota01
